&METADATA_NAMELIST
startdate = "200704010000"
enddate = "201012310000"
loop_for_a_while = 0
output_dir = ""
Latitude = 33.02
Longitude = 91.96
Forcing_Timestep = 86400
Noahlsm_Timestep = 86400
Sea_ice_point = .FALSE.
Soil_layer_thickness = 0.045 0.046 0.075 0.123 0.204 0.336 0.371 0.3 0.5 0.5 0.7 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0
Soil_Temperature = 273.4 271.6 271.2 270.8 270.2 269.4 268.7 268.4 267.5 268.5 270.5 271.0 271.4 271.6 271.7 271.8 271.8 271.9 271.8 271.9
Soil_Moisture = 0.104 0.22 0.247 0.222 0.276 0.247 0.238 0.223 0.205 0.169 0.337 0.337 0.337 0.094 0.109 0.121 0.131 0.15 0.164 0.173
Soil_Liquid = 0.104 0.099 0.104 0.084 0.052 0.03 0.003 0.01 0.031 0.057 0.035 0.039 0.042 0.016 0.017 0.018 0.019 0.021 0.023 0.024
Soil_htype = 7 7 7 7 9 7 7 7 7 7 12 12 12 13 13 13 13 13 13 13
Skin_Temperature = 271.241
Canopy_water = 0
Snow_depth = 0
Snow_equivalent = 0
Deep_Soil_Temperature = 272.43
Landuse_dataset = "USGS"
Soil_type_index = 3
Vegetation_type_index = 9
Urban_veg_category = 1
glacial_veg_category = 24
Slope_type_index = 3
Max_snow_albedo = 0.75
Air_temperature_level = 2.0
Wind_level = 10.0
Green_Vegetation_Min = 0.01
Green_Vegetation_Max = 0.96
Usemonalb = .FALSE.
Rdlai2d = .FALSE.
sfcdif_option = 1
iz0tlnd = 0
Albedo_monthly = 0.18 0.17 0.16 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18
Shdfac_monthly = 0.01 0.02 0.07 0.17 0.27 0.58 0.93 0.96 0.65 0.24 0.11 0.02
lai_monthly = 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
Z0brd_monthly = 0.02 0.02 0.025 0.03 0.035 0.036 0.035 0.03 0.027 0.025 0.02 0.02
/
------------------------------------------------------------------------------------------------------------------------------------------------------------
 UTC date/time        windspeed       wind dir         temperature      humidity        pressure           shortwave      longwave          precipitation
yyyy mm dd hh mi       m s{-1}        degrees               K               %             hPa               W m{-2}        W m{-2}          kg m{-2} s{-1}
------------------------------------------------------------------------------------------------------------------------------------------------------------
<Forcing>  This tag ("<Forcing>", not case sensitive) begins the section of forcing data.  The times have been converted from CST to UTC
2007 04 01 00 00     4.1889973491   249.0000000000   271.2412439391    25.9113713626   548.2200000000   243.6875000000   228.8125000000 0.0000000003104409
2007 04 02 00 00     4.7967473780   249.0000000000   269.9199939687    16.4887785222   548.2200000000   340.3437500000   191.5000000000 0.0000003475326554
2007 04 03 00 00     5.4277474080   249.0000000000   269.2887439828    24.7007722523   548.2200000000   315.1562500000   199.6562500000 0.0000004343382090
2007 04 04 00 00     3.8022473308   249.0000000000   267.2499940284    18.6027480549   548.2200000000   333.7812500000   186.3750000000 0.0000015628104060
2007 04 05 00 00     3.6117473217   249.0000000000   269.4637439789    38.6433772971   548.2200000000   252.4375000000   221.9062500000 0.0000042537825680
2007 04 06 00 00     3.7884973301   249.0000000000   268.3762440032    37.7448347640   548.2200000000   171.6562500000   243.0937500000 0.0000027780881566
2007 04 07 00 00     3.5092473168   249.0000000000   269.3637439811    38.1943021016   548.2200000000   318.3437500000   203.3437500000 0.0000297746153309
2007 04 08 00 00     4.2789973534   249.0000000000   265.4574940684    68.3471118782   548.2200000000   334.5625000000   189.5312500000 0.0000075523936054
2007 04 09 00 00     2.5362472706   249.0000000000   265.7949940609    31.9871030947   548.2200000000   258.5625000000   207.4375000000 0.0000010419770843
2007 04 10 00 00     3.8089973311   249.0000000000   266.6737440412    52.5042014149   548.2200000000   330.4687500000   193.7500000000 0.0000109378101964
2007 04 11 00 00     3.6894973254   249.0000000000   267.0662440325    33.7669889823   548.2200000000   292.8125000000   204.0312500000 0.0000003475326554
2007 04 12 00 00     4.3502473568   249.0000000000   265.8849940588    42.5115387134   548.2200000000   162.2812500000   239.0000000000 0.0000000003104409
2007 04 13 00 00     3.7727473294   249.0000000000   265.8387440599    39.3365419514   548.2200000000   341.7187500000   186.9687500000 0.0000004343382090
2007 04 14 00 00     4.3192473553   249.0000000000   268.1287440087    22.1783610792   548.2200000000   243.5312500000   222.1875000000 0.0000000003104409
2007 04 15 00 00     3.5049973166   249.0000000000   270.2287439618    25.7727069674   548.2200000000   249.2812500000   228.9375000000 0.0000000003104409
2007 04 16 00 00     5.0707473910   249.0000000000   268.7224939954    35.1470180801   548.2200000000   356.5312500000   194.0625000000 0.0000060766991939
2007 04 17 00 00     2.7592472812   249.0000000000   268.1699940078    30.9209275949   548.2200000000   347.4687500000   193.5625000000 0.0000000003104409
2007 04 18 00 00     1.8899972399   249.0000000000   270.2624939610    25.2461444124   548.2200000000   233.3437500000   233.2500000000 0.0000000003104409
